date,region,cum_cases,cum_deaths
2020-06-17,Extremadura,3233,513
2020-06-18,Extremadura,3234,513
2020-06-19,Extremadura,3236,513
2020-06-20,Extremadura,3240,513
2020-06-21,Extremadura,3245,513
2020-06-22,Extremadura,3246,513
2020-06-23,Extremadura,3252,513
2020-06-24,Extremadura,3254,513
2020-06-25,Extremadura,3260,513
2020-06-26,Extremadura,3260,513
2020-06-27,Extremadura,3260,513
2020-06-28,Extremadura,3260,513
2020-06-29,Extremadura,3263,513
2020-06-30,Extremadura,3271,513
2020-07-01,Extremadura,3277,513
2020-07-02,Extremadura,3284,513
2020-07-03,Extremadura,3296,513
2020-07-04,Extremadura,3300,513
2020-07-05,Extremadura,3301,513
2020-07-06,Extremadura,3302,513
2020-07-07,Extremadura,3312,513
2020-07-08,Extremadura,3318,513
2020-07-09,Extremadura,3344,513
2020-07-10,Extremadura,3391,513
2020-07-11,Extremadura,3413,513
2020-07-12,Extremadura,3425,513
2020-07-13,Extremadura,3435,513
2020-07-14,Extremadura,3441,513
2020-07-15,Extremadura,3451,513
2020-07-16,Extremadura,3477,513
2020-07-17,Extremadura,3484,513
2020-07-18,Extremadura,3490,513
2020-07-19,Extremadura,3496,513
2020-07-20,Extremadura,3506,513
2020-07-21,Extremadura,3523,513
2020-07-22,Extremadura,3529,513
2020-07-23,Extremadura,3534,513
2020-07-24,Extremadura,3544,513
2020-07-25,Extremadura,3545,513
2020-07-26,Extremadura,3548,513
2020-07-27,Extremadura,3554,513
2020-07-28,Extremadura,3576,513
2020-07-29,Extremadura,3584,514
2020-07-30,Extremadura,3606,514
2020-07-31,Extremadura,3650,514
2020-08-01,Extremadura,3666,514
2020-08-02,Extremadura,3680,514
2020-08-03,Extremadura,3687,514
2020-08-04,Extremadura,3707,514
2020-08-05,Extremadura,3745,514
2020-08-06,Extremadura,3774,515
2020-08-07,Extremadura,3821,515
2020-08-08,Extremadura,3835,515
2020-08-09,Extremadura,3843,515
2020-08-10,Extremadura,3855,515
2020-08-11,Extremadura,3894,516
2020-08-12,Extremadura,3953,516
2020-08-13,Extremadura,4023,516
2020-08-14,Extremadura,4072,516
2020-08-15,Extremadura,4088,517
2020-08-16,Extremadura,4121,517
2020-08-17,Extremadura,4168,517
2020-08-18,Extremadura,4239,517
2020-08-19,Extremadura,4333,518
2020-08-20,Extremadura,4391,518
2020-08-21,Extremadura,4482,519
2020-08-22,Extremadura,4579,520
2020-08-23,Extremadura,4639,520
2020-08-24,Extremadura,4703,520
2020-08-25,Extremadura,4795,520
2020-08-26,Extremadura,4879,520
2020-08-27,Extremadura,4953,520
2020-08-28,Extremadura,5063,520
2020-08-29,Extremadura,5137,521
2020-08-30,Extremadura,5253,521
2020-08-31,Extremadura,5357,521
2020-09-01,Extremadura,5461,523
2020-09-02,Extremadura,5593,523
2020-09-03,Extremadura,5775,524
2020-09-04,Extremadura,5935,525
2020-09-05,Extremadura,6072,525
2020-09-06,Extremadura,6194,526
2020-09-07,Extremadura,6294,527
2020-09-08,Extremadura,6419,531
2020-09-09,Extremadura,6607,531
2020-09-10,Extremadura,6833,531
2020-09-11,Extremadura,7066,532
2020-09-12,Extremadura,7247,533
2020-09-13,Extremadura,7410,533
2020-09-14,Extremadura,7620,533
2020-09-15,Extremadura,7847,534
2020-09-16,Extremadura,8107,536
2020-09-17,Extremadura,8369,540
2020-09-18,Extremadura,8731,543
2020-09-19,Extremadura,8938,544
2020-09-20,Extremadura,9116,549
2020-09-21,Extremadura,9307,553
2020-09-22,Extremadura,9519,559
2020-09-23,Extremadura,9709,563
2020-09-24,Extremadura,10021,567
2020-09-25,Extremadura,10223,573
2020-09-26,Extremadura,10377,577
2020-09-27,Extremadura,10478,579
2020-09-28,Extremadura,10611,583
2020-09-29,Extremadura,10792,587
2020-09-30,Extremadura,10958,595
2020-10-01,Extremadura,11125,599
2020-10-02,Extremadura,11309,607
2020-10-03,Extremadura,11453,611
2020-10-04,Extremadura,11560,612
2020-10-05,Extremadura,11715,621
2020-10-06,Extremadura,11931,625
2020-10-07,Extremadura,12131,628
2020-10-08,Extremadura,12343,633
2020-10-09,Extremadura,12593,634
2020-10-10,Extremadura,12781,638
2020-10-11,Extremadura,12948,641
2020-10-12,Extremadura,13100,644
2020-10-13,Extremadura,13291,648
2020-10-14,Extremadura,13605,652
2020-10-15,Extremadura,13904,657
2020-10-16,Extremadura,14190,661
2020-10-17,Extremadura,14503,662
2020-10-18,Extremadura,14735,663
2020-10-19,Extremadura,14956,668
2020-10-20,Extremadura,15372,672
2020-10-21,Extremadura,15709,678
2020-10-22,Extremadura,16143,684
2020-10-23,Extremadura,16634,688
2020-10-24,Extremadura,17112,693
2020-10-25,Extremadura,17499,694
2020-10-26,Extremadura,18001,705
2020-10-27,Extremadura,18432,711
2020-10-28,Extremadura,18948,716
2020-10-29,Extremadura,19489,722
2020-10-30,Extremadura,20037,731
2020-10-31,Extremadura,20441,739
2020-11-01,Extremadura,20822,747
2020-11-02,Extremadura,21174,757
2020-11-03,Extremadura,21541,768
2020-11-04,Extremadura,22095,777
2020-11-05,Extremadura,22692,786
2020-11-06,Extremadura,23196,794
2020-11-07,Extremadura,23503,800
2020-11-08,Extremadura,23798,808
2020-11-09,Extremadura,24149,816
2020-11-10,Extremadura,24566,823
2020-11-11,Extremadura,25028,835
2020-11-12,Extremadura,25359,846
2020-11-13,Extremadura,25616,848
2020-11-14,Extremadura,25867,856
2020-11-15,Extremadura,25970,860
2020-11-16,Extremadura,26170,868
2020-11-17,Extremadura,26430,876
2020-11-18,Extremadura,26654,882
2020-11-19,Extremadura,26912,888
2020-11-20,Extremadura,27097,900
2020-11-21,Extremadura,27262,903
2020-11-22,Extremadura,27334,909
2020-11-23,Extremadura,27512,915
2020-11-24,Extremadura,27714,925
2020-11-25,Extremadura,27914,931
2020-11-26,Extremadura,28181,943
2020-11-27,Extremadura,28321,949
2020-11-28,Extremadura,28393,955
2020-11-29,Extremadura,28438,959
2020-11-30,Extremadura,28586,968
2020-12-01,Extremadura,28757,973
2020-12-02,Extremadura,28932,981
2020-12-03,Extremadura,29093,987
2020-12-04,Extremadura,29240,994
2020-12-05,Extremadura,29349,995
2020-12-06,Extremadura,29431,999
2020-12-07,Extremadura,29501,1001
2020-12-08,Extremadura,29571,1004
2020-12-09,Extremadura,29718,1008
2020-12-10,Extremadura,29912,1012
2020-12-11,Extremadura,30147,1015
2020-12-12,Extremadura,30303,1018
2020-12-13,Extremadura,30429,1021
2020-12-14,Extremadura,30703,1022
2020-12-15,Extremadura,31042,1024
2020-12-16,Extremadura,31388,1027
2020-12-17,Extremadura,31682,1028
2020-12-18,Extremadura,32061,1031
2020-12-19,Extremadura,32306,1033
2020-12-20,Extremadura,32485,1036
2020-12-21,Extremadura,32848,1038
2020-12-22,Extremadura,33256,1042
2020-12-23,Extremadura,33823,1046
2020-12-24,Extremadura,34102,1052
2020-12-25,Extremadura,34259,1052
2020-12-26,Extremadura,34596,1056
2020-12-27,Extremadura,34824,1061
2020-12-28,Extremadura,35365,1067
2020-12-29,Extremadura,36155,1068
2020-12-30,Extremadura,37067,1073
2020-12-31,Extremadura,37645,1078
2020-01-01,Galicia,0,0
2020-01-02,Galicia,0,0
2020-01-03,Galicia,0,0
2020-01-04,Galicia,0,0
2020-01-05,Galicia,0,0
2020-01-06,Galicia,0,0
2020-01-07,Galicia,0,0
2020-01-08,Galicia,0,0
2020-01-09,Galicia,0,0
2020-01-10,Galicia,0,0
2020-01-11,Galicia,0,0
2020-01-12,Galicia,0,0
2020-01-13,Galicia,0,0
2020-01-14,Galicia,0,0
2020-01-15,Galicia,0,0
2020-01-16,Galicia,0,0
2020-01-17,Galicia,0,0
2020-01-18,Galicia,0,0
2020-01-19,Galicia,0,0
2020-01-20,Galicia,0,0
2020-01-21,Galicia,1,0
2020-01-22,Galicia,1,0
2020-01-23,Galicia,1,0
2020-01-24,Galicia,1,0
2020-01-25,Galicia,1,0
2020-01-26,Galicia,1,0
2020-01-27,Galicia,1,0
2020-01-28,Galicia,1,0
2020-01-29,Galicia,1,0
2020-01-30,Galicia,1,0
2020-01-31,Galicia,1,0
2020-02-01,Galicia,1,0
2020-02-02,Galicia,1,0
2020-02-03,Galicia,1,0
2020-02-04,Galicia,1,0
2020-02-05,Galicia,1,0
2020-02-06,Galicia,1,0
2020-02-07,Galicia,1,0
2020-02-08,Galicia,1,0
2020-02-09,Galicia,1,0
2020-02-10,Galicia,1,0
