date,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,No consta,País Vasco
2020-12-21,252334,73403,26408,31967,144712,24942,17290,100219,125850,336737,2980,32848,57888,17656,389854,4401,58191,41566,15043,111618
2020-12-22,253485,73597,26508,32568,147471,25175,17350,100969,126169,339495,2989,33256,58267,17725,392644,4421,58460,41644,15072,112080
2020-12-23,254784,73740,26604,33076,150520,25366,17424,101875,126474,342208,2994,33823,58774,17814,395832,4440,58750,41770,15121,112492
2020-12-24,255722,74060,26664,33437,152868,25563,17484,102426,126695,344660,2995,34102,59184,17878,396790,4444,58997,41873,15154,112882
2020-12-25,256153,74178,26720,33717,153998,25721,17551,102726,126785,345429,2997,34259,59501,17905,397282,4454,59097,41956,15177,113096
2020-12-26,256730,74271,26777,34197,155540,25843,17616,103035,126955,346414,3007,34596,59773,17957,398156,4456,59263,42029,15205,113315
2020-12-27,257278,74403,26859,34538,156974,25974,17689,103337,127106,347334,3023,34824,60076,17996,398950,4459,59364,42090,15226,113602
2020-12-28,258528,74653,26932,35052,159786,26217,17753,104124,127436,350988,3037,35365,60458,18031,402227,4496,59739,42201,15280,113929
2020-12-29,260315,75044,27076,35648,163393,26490,17866,105166,127925,354824,3059,36155,60893,18146,406377,4514,60223,42337,15357,114408
2020-12-30,262285,75453,27202,36207,167612,26720,17971,106547,128468,358585,3075,37067,61467,18327,411200,4542,60782,42482,15469,114876
2020-12-31,264048,75782,27313,36776,171006,27029,18013,107592,128917,362296,3087,37645,62021,18478,412548,4565,61345,42628,15518,115335
